HebName,Name,ID,EngName,Region,SubDistrict,NaturalZone,StausMunicipal,Metropolitan,Religion,Pop2015,JewsOthers,Jews,Arebs,YearEst,TypeSuratYeshuv,Affiliation ,Coordinate,Hight,RegionalComittee,Police,YearUpdate,Link
כפר חיים,כפר חיים,193,KEFAR HAYYIM,4,41,411,16,141,1,600,0.6,0.6,,1933,310,1,1907569582,13,409,5120,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=193
כפר חנניה,כפר חנניה,1297,KEFAR HANANYA,2,21,212,2,,1,669,0.7,0.7,,1990,370,2,2399275781,326,209,1310,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1297
כפר חסידים א',כפר חסידים א',112,KEFAR HASIDIM ALEF,3,31,311,12,222,1,798,0.8,0.8,,1924,310,19,2089773955,14,301,1160,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=112
כפר חסידים ב',כפר חסידים ב',889,KEFAR HASIDIM BET,3,31,311,12,222,1,256,0.3,0.3,,1950,350,,2084973979,17,301,1160,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=889
כפר חרוב,כפר חרוב,4004,KEFAR HARUV,2,29,294,71,,1,357,0.4,0.4,,1974,330,15,2624074092,311,219,1270,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=4004
כפר טרומן,כפר טרומן,673,KEFAR TRUMAN,4,43,432,25,142,1,882,0.9,0.9,,1949,310,1,1929565416,56,424,5160,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=673
כפר יאסיף,כפר יאסיף,507,KAFAR YASIF,2,24,245,99,,2,9587,,,9.5,,280,,2156076212,58,252,1330,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=507
כפר ידידיה,כפר ידידיה,233,KEFAR YEDIDYA,4,41,411,16,141,1,754,0.8,0.7,,1935,310,1,1906669468,24,409,5120,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=233
כפר יהושע,כפר יהושע,140,KEFAR YEHOSHUA,2,23,235,9,,1,1107,1.1,1.1,,1927,310,1,2145773196,47,254,1440,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=140
כפר יונה,כפר יונה,168,KEFAR YONA,4,41,411,0,141,1,21611,21.6,21.1,,1932,160,,1937969133,42,457,5120,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=168
כפר יחזקאל,כפר יחזקאל,85,KEFAR YEHEZQEL,2,23,232,8,,1,1149,1.1,1.1,,1921,310,1,2340471922,5,204,1420,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=85
כפר יעבץ,כפר יעבץ,170,KEFAR YA'BEZ,4,41,411,18,141,1,665,0.7,0.7,,1932,310,2,1969468679,49,412,5120,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=170
כפר כמא,כפר כמא,508,KAFAR KAMA,2,22,222,99,,2,3188,,,3.2,,290,,2415873637,209,251,1240,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=508
כפר כנא,כפר כנא,509,KAFAR KANNA,2,25,237,99,,2,21296,,,21.3,,260,,2323673912,229,257,1410,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=509
כפר מונש,כפר מונש,387,KEFAR MONASH,4,41,411,16,141,1,949,0.9,0.9,,1946,310,1,1923169488,17,409,5120,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=387
כפר מימון,כפר מימון,1095,KEFAR MAYMON,6,62,621,39,,1,296,0.3,0.3,,1959,310,2,1558359360,99,651,3482,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1095
"כפר מל""ל","כפר מל""ל",98,KEFAR MALAL,4,42,421,20,131,1,328,0.3,0.3,,1922,310,1,1901867499,63,417,5140,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=98
כפר מנדא,כפר מנדא,510,KAFAR MANDA,2,24,241,99,,2,18509,,,18.5,,270,,2246874616,179,261,1360,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=510
כפר מנחם,כפר מנחם,274,KEFAR MENAHEM,6,61,611,35,,1,1296,1.3,1.3,,1937,330,15,1842562641,110,632,3830,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=274
כפר מסריק,כפר מסריק,297,KEFAR MASARYK,2,24,246,4,241,1,780,0.8,0.8,,1938,330,15,2097075506,4,201,1330,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=297
כפר מצר,כפר מצר,512,KAFAR MISR,2,25,233,66,,2,2595,,,2.6,,290,,2398672791,111,251,1420,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=512
כפר מרדכי,כפר מרדכי,764,KEFAR MORDEKHAY,4,44,441,32,143,1,655,0.7,0.6,,1950,310,10,1769463769,41,456,5230,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=764
כפר נטר,כפר נטר,316,KEFAR NETTER,4,41,411,19,141,1,1157,1.2,1.1,,1939,310,10,1881168692,24,401,5120,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=316
כפר סאלד,כפר סאלד,345,KEFAR SZOLD,2,21,211,1,,1,589,0.6,0.6,,1942,330,15,2617578900,122,253,1210,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=345
כפר סבא,כפר סבא,6900,KEFAR SAVA,4,42,421,0,131,1,96922,96.8,93.4,,1903,150,,1919567640,52,405,5140,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=6900
כפר סילבר,כפר סילבר,107,KEFAR SILVER,6,61,614,36,,1,227,0.2,0.2,,1957,340,,1632562022,55,633,3830,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=107
כפר סירקין,כפר סירקין,249,KEFAR SIRKIN,4,42,422,20,142,1,1333,1.3,1.3,,1936,310,,1930166493,41,417,5130,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=249
כפר עבודה,כפר עבודה,875,KEFAR AVODA,4,41,411,18,141,1,249,0.2,0.2,,1942,340,,1946168478,70,412,5140,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=875
כפר עזה,כפר עזה,845,KEFAR AZZA,6,61,614,37,,1,705,0.7,0.7,,1951,330,15,1555559925,89,651,3840,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=845
כפר עציון,כפר עציון,3488,KEFAR EZYON,7,76,,76,445,1,1071,1,1,,1967,330,3,2109961749,934,714,4352,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3488
כפר פינס,כפר פינס,189,KEFAR PINES,3,32,324,14,,1,994,1,1,,1933,310,2,2004670999,60,351,1180,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=189
כפר קאסם,כפר קאסם,634,KAFAR QASEM,4,42,422,0,142,2,21848,,,21.8,,260,,1977566907,81,451,5150,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=634
כפר קיש,כפר קיש,388,KEFAR KISCH,2,22,222,3,,1,520,0.5,0.5,,1946,310,1,2424073029,86,206,1420,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=388
כפר קרע,כפר קרע,654,KAFAR QARA,3,32,323,99,,2,17689,,,17.6,,270,,2051371242,109,354,1450,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=654
כפר ראש הנקרה,כפר ראש הנקרה,579,KEFAR ROSH HANIQRA,2,24,245,4,,1,1271,1.3,1.2,,1949,330,15,2109877677,33,201,1350,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=579
כפר רוזנואלד (זרעית),כפר רוזנואלד (זרעית),1130,KEFAR ROZENWALD(ZARIT),2,24,244,52,,1,249,0.2,0.2,,1967,310,1,2272977831,618,255,1350,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1130
כפר רופין,כפר רופין,295,KEFAR RUPPIN,2,23,231,7,,1,404,0.4,0.4,,1938,330,15,2525870708,-247,202,1430,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=295
כפר רות,כפר רות,1166,KEFAR RUT,4,43,431,25,142,1,208,0.2,0.2,,1977,310,1,2030464639,286,424,5290,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1166
כפר שמאי,כפר שמאי,605,KEFAR SHAMMAY,2,21,212,2,,1,460,0.5,0.5,,1949,310,2,2430876244,634,209,1230,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=605
כפר שמואל,כפר שמואל,743,KEFAR SHEMU'EL,4,43,432,30,143,1,864,0.9,0.9,,1950,310,6,1937164417,107,426,5220,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=743
כפר שמריהו,כפר שמריהו,267,KEFAR SHEMARYAHU,5,51,511,99,121,1,1856,1.8,1.8,,1937,350,,1833067703,31,504,2360,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=267
כפר תבור,כפר תבור,47,KEFAR TAVOR,2,22,222,99,,1,3796,3.8,3.7,,1901,190,,2397473249,102,251,1420,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=47
כפר תפוח,כפר תפוח,3572,KEFAR TAPPUAH,7,73,,72,,1,970,1,1,,1978,370,2,2238466944,653,710,4164,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3572
כרכום,כרכום,1285,KARKOM,2,22,221,55,,1,564,0.6,0.6,,1988,370,13,2571975949,96,253,1220,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1285
כרם בן זמרה,כרם בן זמרה,664,KEREM BEN ZIMRA,2,21,212,2,,1,445,0.4,0.4,,1949,310,2,2440477148,822,209,1230,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=664
כרם בן שמן,כרם בן שמן,88,KEREM BEN SHEMEN,4,43,432,25,142,1,83,0.1,0.1,,1958,350,,1938065173,80,424,5280,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=88
כרם יבנה (ישיבה),כרם יבנה (ישיבה),1094,KEREM YAVNE(YESHIVA),4,44,441,29,143,1,541,0.5,0.5,,1963,340,,1738163628,50,456,3830,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1094
"כרם מהר""ל","כרם מהר""ל",580,KEREM MAHARAL,3,32,322,15,243,1,706,0.7,0.7,,1949,310,1,1993872799,93,303,1181,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=580
כרם שלום,כרם שלום,1085,KEREM SHALOM,6,62,622,38,,1,119,0.1,0.1,,1956,330,15,1317857105,87,651,3430,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1085
כרמי יוסף,כרמי יוסף,1264,KARME YOSEF,4,43,432,30,143,1,1674,1.7,1.7,,1984,350,,1925663946,222,426,5220,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1264
כרמי צור,כרמי צור,3766,KARME ZUR,7,77,,76,,1,1036,1,1,,1984,370,2,2095861294,943,714,4352,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3766
כרמיאל,כרמיאל,1139,KARMI'EL,2,24,242,0,,1,44858,43.5,37.1,,1964,160,,2276275741,270,208,1310,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1139
כרמייה,כרמייה,768,KARMIYYA,6,61,614,36,,1,644,0.6,0.6,,1950,330,15,1565861272,29,633,3840,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=768
כרמים,כרמים,1198,KERAMIM,6,62,623,41,341,1,391,0.4,0.4,,1980,330,15,1921858239,402,625,3481,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1198
כרמל,כרמל,3656,KARMEL,7,77,,78,,1,407,0.4,0.4,,1981,320,11,2175759336,730,715,4352,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3656
לבון,לבון,1207,LAVON,2,24,243,56,,1,658,0.7,0.7,,1980,350,,2270976073,554,205,1310,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1207
לביא,לביא,585,LAVI,2,22,222,3,,1,640,0.6,0.6,,1949,330,3,2417174366,299,206,1240,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=585
לבנים,לבנים,1230,LIVNIM,2,22,221,2,,1,421,0.4,0.4,,1982,310,1,2466175214,-53,209,1240,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1230
להב,להב,2023,LAHAV,6,62,623,41,341,1,469,0.5,0.5,,1952,330,15,1875358757,455,625,3481,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=2023
להבות הבשן,להבות הבשן,380,LAHAVOT HABASHAN,2,21,211,1,,1,865,0.9,0.8,,1945,330,15,2607878299,88,253,1210,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=380
להבות חביבה,להבות חביבה,715,LAHAVOT HAVIVA,3,32,324,14,,1,968,1,0.9,,1949,330,15,2010970013,42,351,1450,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=715
להבים,להבים,1271,LEHAVIM,6,62,623,99,341,1,6442,6.3,6.2,,1985,180,,1822758650,310,619,3485,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1271
לוד,לוד,7000,LOD,4,43,432,0,133,4,72819,51.3,45.6,21.6,1948,150,,1895665096,57,406,5280,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=7000
לוזית,לוזית,52,LUZIT,1,11,112,26,,1,653,0.7,0.6,,1955,310,1,1893262158,189,151,7004,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=52
לוחמי הגיטאות,לוחמי הגיטאות,595,LOHAME HAGETA'OT,2,24,245,4,241,1,538,0.5,0.5,,1949,330,15,2094776315,17,201,1350,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=595
לוטם,לוטם,1171,LOTEM,2,24,242,56,,1,694,0.7,0.6,,1978,330,15,2338475416,315,205,1360,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1171
לוטן,לוטן,1255,LOTAN,6,62,625,53,,1,181,0.2,0.2,,1983,330,15,2083243333,127,608,3460,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1255
לימן,לימן,674,LIMAN,2,24,245,4,241,1,729,0.7,0.7,,1949,310,1,2108977387,15,201,1350,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=674
לכיש,לכיש,24,LAKHISH,6,61,612,50,,1,712,0.7,0.7,,1955,310,1,1850760772,247,634,3820,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=24
לפיד,לפיד,1310,LAPPID,4,43,431,25,142,1,2551,2.6,2.5,,1996,190,,2032064717,268,424,5290,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1310
לפידות,לפידות,1173,LAPPIDOT,2,24,243,52,,1,121,0.1,0.1,,1978,310,1,2248276267,471,255,1320,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1173
לקיה,לקיה,1060,LAQYE,6,62,623,99,341,2,11781,,,11.8,,270,,1873558141,396,652,3481,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1060
מאור,מאור,2055,MA'OR,3,32,324,14,,1,1258,1.3,1.2,,1953,310,1,2007970341,32,351,1450,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=2055
מאיר שפיה,מאיר שפיה,102,ME'IR SHEFEYA,3,32,322,15,,1,317,0.3,0.2,,1923,340,,1975772192,106,303,1181,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=102
מבוא ביתר,מבוא ביתר,771,MEVO BETAR,1,11,111,26,444,1,857,0.9,0.9,,1950,320,9,2101162547,752,151,7004,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=771
מבוא דותן,מבוא דותן,3569,MEVO DOTAN,7,71,,72,,1,364,0.4,0.4,,1978,370,11,2167470291,329,710,4164,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3569
מבוא חורון,מבוא חורון,3709,MEVO HORON,7,74,,73,,1,2517,2.5,2.5,,1970,192,8,2035663942,249,711,4354,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3709
מבוא חמה,מבוא חמה,4204,MEVO HAMMA,2,29,294,71,,1,344,0.3,0.3,,1968,330,15,2616873804,350,219,1270,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=4204
מבוא מודיעים,מבוא מודיעים,1141,MEVO MODI'IM,4,43,431,25,142,1,265,0.3,0.3,,1964,370,8,1989164897,210,424,5290,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1141
מבואות ים,מבואות ים,1318,MEVO'OT YAM,4,41,411,16,141,1,481,0.5,0.5,,1954,340,,1878270108,3,409,5120,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1318
מבועים,מבועים,1080,MABBU'IM,6,62,621,42,,1,1161,1.2,1.1,,1958,350,,1671959544,170,651,3482,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1080
מבטחים,מבטחים,829,MIVTAHIM,6,62,622,38,,1,406,0.4,0.4,,1950,310,1,1435757236,130,651,3430,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=829
מבקיעים,מבקיעים,573,MAVQI'IM,6,61,614,36,,1,395,0.4,0.4,,1949,310,6,1599161459,57,633,3840,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=573
מבשרת ציון,מבשרת ציון,1015,MEVASSERET ZIYYON,1,11,111,99,444,1,24409,24.3,23.6,,1951,160,,2144363412,717,152,6129,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1015
מג'ד אל-כרום,מג'ד אל-כרום,516,MAJD AL-KURUM,2,24,242,99,,2,14774,,,14.7,,270,,2241375847,242,260,1310,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=516
מג'דל שמס,מג'דל שמס,4201,MAJDAL SHAMS,2,29,291,99,,2,10643,,,10.6,,270,,2721679676,1230,256,1270,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=4201
מגאר,מגאר,481,MUGHAR,2,22,222,99,,2,21650,,,21.5,,260,,2389075473,148,251,1240,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=481
מגדים,מגדים,689,MEGADIM,3,32,321,15,223,1,1277,1.3,1.3,,1949,310,1,1964273727,15,303,1182,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=689
מגדל,מגדל,65,MIGDAL,2,22,221,99,,1,1812,1.8,1.7,,1910,350,,2475774922,-85,251,1240,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=65
מגדל העמק,מגדל העמק,874,MIGDAL HAEMEQ,2,23,237,0,,1,24959,25,22.7,,1952,160,,2230973150,212,221,1440,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=874
מגדל עוז,מגדל עוז,3561,MIGDAL OZ,7,76,,76,445,1,439,0.4,0.4,,1977,330,3,2135761642,939,714,4352,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3561
מגדל תפן,מגדל תפן,1722, ,2,24,243,99,,,,,,,,520,,2261776449,,255,1320,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1722
מגדלים,מגדלים,3751,MIGDALIM,7,72,,72,,1,269,0.3,0.3,,1983,370,11,2324666631,779,710,4164,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3751
מגידו,מגידו,586,MEGIDDO,2,23,234,13,,1,847,0.8,0.8,,1949,330,15,2171172064,154,254,1420,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=586
מגל,מגל,375,MAGGAL,3,32,324,14,,1,1057,1.1,1,,1953,330,15,2033869911,72,351,1450,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=375
מגן,מגן,695,MAGEN,6,62,622,38,,1,551,0.5,0.5,,1949,330,15,1454357893,119,651,3430,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=695
מגן שאול,מגן שאול,1155,MAGEN SHA'UL,2,23,234,8,,1,614,0.6,0.5,,1976,310,1,2291571410,82,204,1420,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1155
מגשימים,מגשימים,722,MAGSHIMIM,4,42,422,20,132,1,1064,1.1,1.1,,1949,310,10,1906166151,50,417,5130,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=722
מדרך עוז,מדרך עוז,2029,MIDRAKH OZ,2,23,234,13,,1,748,0.7,0.7,,1952,310,1,2151572230,128,254,1420,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=2029
מדרשת בן גוריון,מדרשת בן גוריון,1140,MIDRESHET BEN GURION,6,62,626,48,,1,1787,1.8,1.7,,1965,350,,1790952918,473,620,3450,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1140
מדרשת רופין,מדרשת רופין,897,MIDRESHET RUPPIN,4,41,411,16,141,1,480,0.3,0.3,,1948,340,,1919269429,25,409,5120,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=897
מודיעין-מכבים-רעות*,מודיעין-מכבים-רעות*,1200,MODI'IN-MAKKABBIM-RE'UT,4,43,431,0,142,1,88749,88.7,87,,1986,150,,2013064473,209,420,5290,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1200
מודיעין עילית,מודיעין עילית,3797,MODI'IN ILLIT,7,74,,0,,1,64179,64.2,64.2,,1996,150,,2035964873,283,730,4354,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3797
מולדה*,מולדה*,1360,MOLADA*,6,62,623,69,,2,295,,,0.3,,450,,1971857373,428,624,3481,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1360
מולדת,מולדת,269,MOLEDET,2,23,233,8,,1,986,1,1,,1937,320,1,2416372136,63,204,1420,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=269
מוצא עילית,מוצא עילית,208,MOZA ILLIT,1,11,111,26,444,1,940,0.9,0.9,,1933,350,,2150263345,637,151,6129,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=208
מוקייבלה,מוקייבלה,635,MUQEIBLE,2,23,234,8,,2,3719,,,3.7,,290,,2280771334,88,204,1420,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=635
מורן,מורן,1163,MORAN,2,24,242,56,,1,427,0.4,0.4,,1977,330,15,2372075844,326,205,1310,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1163
מורשת,מורשת,1178,MORESHET,2,24,241,56,241,1,1424,1.4,1.4,,1981,370,11,2221774795,310,205,1360,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1178
מזור,מזור,606,MAZOR,4,42,422,25,142,1,1300,1.3,1.3,,1949,310,1,1931066207,54,424,5130,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=606
מזכרת בתיה,מזכרת בתיה,28,MAZKERET BATYA,4,44,441,99,143,1,12698,12.7,12.5,,1883,170,,1852464000,62,453,5230,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=28
"מזרח השרון מ""א 16","מזרח השרון מ""א 16",1879,no name,4,41,412,16,,,,,,,,530,,2001069530,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1879
"מזרח השרון מ""א 18","מזרח השרון מ""א 18",1880,no name,4,41,412,18,,,,,,,,530,,2002068950,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1880
מזרע,מזרע,104,MIZRA,2,23,234,9,,1,608,0.6,0.6,,1923,330,15,2271472850,99,254,1420,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=104
מזרעה,מזרעה,517,MAZRA'A,2,24,245,99,241,2,3649,,,3.6,,290,,2095476542,15,201,1350,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=517
מחולה,מחולה,3599,MEHOLA,7,75,,75,,1,471,0.5,0.5,,1968,310,2,2486869685,-177,712,4164,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3599
מחנה הילה*,מחנה הילה*,1411,MAHANE HILLA,4,44,442,27,143,,,,,,,510,,1710064600,,499,5230,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1411
מחנה טלי*,מחנה טלי*,1418,MAHANE TALI,6,62,626,48,,,,,,,,510,,1680051800,,699,3450,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1418
מחנה יהודית*,מחנה יהודית*,1413,MAHANE YEHUDIT,2,23,234,9,,,,,,,,510,,2170073000,,299,1440,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1413
מחנה יוכבד*,מחנה יוכבד*,1416,MAHANE YOKHEVED,6,62,627,53,,,,,,,,510,,1930042700,,699,3460,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1416
מחנה יפה*,מחנה יפה*,1415,MAHANE YAFA,6,62,622,42,,,,,,,,510,,1690057000,,699,3440,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1415
מחנה יתיר,מחנה יתיר,1196,MAHANE YATTIR,6,62,623,,,1,197,0.2,0.2,,1979,350,,2057258396,653,699,3481,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1196
מחנה מרים*,מחנה מרים*,1414,MAHANE MIRYAM,6,61,611,33,,,,,,,,510,,1740062900,,699,3830,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1414
מחנה עדי*,מחנה עדי*,1417,MAHANE ADI,6,62,623,,,,,,,,,510,,2030056900,,699,3481,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1417
מחנה תל נוף*,מחנה תל נוף*,1412,MAHANE TEL NOF,4,44,441,28,143,,,,,,,510,,1830063800,,499,5230,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1412
מחניים,מחניים,308,MAHANAYIM,2,21,213,1,,1,686,0.7,0.7,,1939,330,15,2536376606,264,253,1220,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=308
מחסיה,מחסיה,776,MAHSEYA,1,11,112,26,444,1,434,0.4,0.4,,1950,310,2,2007762837,251,151,7004,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=776
מטולה,מטולה,43,METULA,2,21,211,99,,1,1614,1.6,1.5,,1896,350,,2541579817,442,259,1210,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=43
מטע,מטע,822,MATTA,1,11,111,26,444,1,897,0.9,0.9,,1950,310,1,2059662505,607,151,7004,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=822
